Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address[23:0],u_ndpp_wrapper/user_logic_native_mem_strb[31:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_hls[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
209,209,0,0,300060,00000000,c9,00,01
210,210,0,0,300060,00000000,c9,00,01
211,211,0,0,300060,00000000,c9,00,01
212,212,0,0,300060,00000000,c9,00,01
213,213,0,0,300060,00000000,c9,00,01
214,214,0,0,300060,00000000,c9,00,01
215,215,0,0,300060,00000000,c9,00,01
216,216,0,0,300060,00000000,c9,00,01
217,217,0,0,300060,00000000,c9,00,01
218,218,0,0,300060,00000000,c9,00,01
219,219,0,0,300060,00000000,c9,00,01
220,220,0,0,300060,00000000,c9,00,01
221,221,0,0,300060,00000000,c9,00,01
222,222,0,0,300060,00000000,c9,00,01
223,223,0,0,300060,00000000,c9,00,01
224,224,0,0,300060,00000000,c9,00,01
225,225,0,0,300060,00000000,c9,00,01
226,226,0,0,300060,00000000,c9,00,01
227,227,0,0,300060,00000000,c9,00,01
228,228,0,0,300060,00000000,c9,00,01
229,229,0,0,300060,00000000,c9,00,01
230,230,0,0,300060,00000000,c9,00,01
231,231,0,0,300060,00000000,c9,00,01
232,232,0,0,300060,00000000,c9,00,01
233,233,0,0,300060,00000000,c9,00,01
234,234,0,0,300060,00000000,c9,00,01
235,235,0,0,300060,00000000,c9,00,01
236,236,0,0,300060,00000000,c9,00,01
237,237,0,0,300060,00000000,c9,00,01
238,238,0,0,300060,00000000,c9,00,01
239,239,0,0,300060,00000000,c9,00,01
240,240,0,0,300060,00000000,c9,00,01
241,241,0,0,300060,00000000,c9,00,01
242,242,0,0,300060,00000000,c9,00,01
243,243,0,0,300060,00000000,c9,00,01
244,244,0,0,300060,00000000,c9,00,01
245,245,0,0,300060,00000000,c9,00,01
246,246,0,0,300060,00000000,c9,00,01
247,247,0,0,300060,00000000,c9,00,01
248,248,0,0,300060,00000000,c9,00,01
249,249,0,0,300060,00000000,c9,00,01
250,250,0,0,300060,00000000,c9,00,01
251,251,0,0,300060,00000000,c9,00,01
252,252,0,0,300060,00000000,c9,00,01
253,253,0,0,300060,00000000,c9,00,01
254,254,0,0,300060,00000000,c9,00,01
255,255,0,0,300060,00000000,c9,00,01
256,256,0,0,300060,00000000,c9,00,01
257,257,0,0,300060,00000000,c9,00,01
258,258,0,0,300060,00000000,c9,00,01
259,259,0,0,300060,00000000,c9,00,01
260,260,0,0,300060,00000000,c9,00,01
261,261,0,0,300060,00000000,c9,00,01
262,262,0,0,300060,00000000,c9,00,01
263,263,0,0,300060,00000000,c9,00,01
264,264,0,0,300060,00000000,c9,00,01
265,265,0,0,300060,00000000,c9,00,01
266,266,0,0,300060,00000000,c9,00,01
267,267,0,0,300060,00000000,c9,00,01
268,268,0,0,300060,00000000,c9,00,01
269,269,0,0,300060,00000000,c9,00,01
270,270,0,0,300060,00000000,c9,00,01
271,271,0,0,300060,00000000,c9,00,01
272,272,0,0,300060,00000000,c9,00,01
273,273,0,0,300060,00000000,c9,00,01
274,274,0,0,300060,00000000,c9,00,01
275,275,0,0,300060,00000000,c9,00,01
276,276,0,0,300060,00000000,c9,00,01
277,277,0,0,300060,00000000,c9,00,01
278,278,0,0,300060,00000000,c9,00,01
279,279,0,0,300060,00000000,c9,00,01
280,280,0,0,300060,00000000,c9,00,01
281,281,0,0,300060,00000000,c9,00,01
282,282,0,0,300060,00000000,c9,00,01
283,283,0,0,300060,00000000,c9,00,01
284,284,0,0,300060,00000000,c9,00,01
285,285,0,0,300060,00000000,c9,00,01
286,286,0,0,300060,00000000,c9,00,01
287,287,0,0,300060,00000000,c9,00,01
288,288,0,0,300060,00000000,c9,00,01
289,289,0,0,300060,00000000,c9,00,01
290,290,0,0,300060,00000000,c9,00,01
291,291,0,0,300060,00000000,c9,00,01
292,292,0,0,300060,00000000,c9,00,01
293,293,0,0,300060,00000000,c9,00,01
